,occ,dim_0,dim_1,emp_2018,wage,sqrt_emp
0,Accountants and auditors,26.352259,20.087444,1436.1,71550.0,37.89591006955764
5,"Adult basic education, adult secondary education, and English as a Second Language instructors",9.717224,13.629684,59.3,54350.0,7.700649323271382
7,Advertising sales agents,4.095492,15.891302,139.2,53310.0,11.7983049630021
9,Aerospace engineers,35.429806,9.395681,66.4,116500.0,8.148619514985345
12,Agricultural equipment operators,-24.653444,-9.579328,70.3,31950.0,8.384509526501834
16,Aircraft mechanics and service technicians,6.9088616,-19.932604,137.2,64090.0,11.713240371477058
17,"Aircraft structure, surfaces, rigging, and systems assemblers",3.9644384,-17.132504,43.9,54210.0,6.6257075093909785
19,"Airline pilots, copilots, and flight engineers",0.6655805,-11.755763,85.5,147220.0,9.246621004453464
21,Amusement and recreation attendants,-19.657719,5.147924,357.7,23370.0,18.912958520548813
23,Animal caretakers,-12.709297,4.074832,300.7,24780.0,17.340703561274555
26,Animal trainers,10.942416,6.710831,50.2,30430.0,7.085195833567341
30,"Architects, except landscape and naval",30.174168,3.2034214,129.9,80750.0,11.397368117245314
31,Architectural and civil drafters,-2.012574,3.2741685,102.9,56340.0,10.143963722332607
32,Architectural and engineering managers,31.897036,8.306376,198.1,144830.0,14.074800176201437
36,Art directors,7.358163,17.826818,99.1,94220.0,9.954898291795853
37,"Art, drama, and music teachers, postsecondary",21.718792,2.0244293,116.3,69530.0,10.784247771634329
43,Audio and video technicians,-0.20361203,-7.5753913,91.8,45910.0,9.581231653602787
46,Automotive and watercraft service attendants,-9.137958,-12.417428,118.8,25200.0,10.89954127475097
47,Automotive body and related repairers,-8.655009,-15.532997,155.5,43580.0,12.469963913339926
49,Automotive service technicians and mechanics,2.2656212,-21.34673,756.6,42090.0,27.506362900245463
51,Baggage porters and bellhops,-4.44763,-12.336352,40.6,25580.0,6.371812928829597
53,Bakers,-24.37735,2.6117153,199.3,27700.0,14.117365193264641
54,Barbers,-16.174152,7.1837063,66.5,30150.0,8.154753215150045
55,Bartenders,-16.314064,3.1924014,654.7,23680.0,25.58710612789184
57,Bill and account collectors,-9.162502,14.351656,238.9,37000.0,15.45639026422405
58,Billing and posting clerks,-6.457135,11.65345,484.2,38740.0,22.004544985070698
61,"Biological science teachers, postsecondary",27.63921,12.485383,64.7,83300.0,8.043631020876083
62,Biological scientists,27.910559,6.7179127,120.6,79580.0,10.981803130633876
63,"Biological scientists, all other",26.2609,12.254392,44.7,82220.0,6.685805860178712
64,Biological technicians,-2.559936,-2.8462577,87.5,45860.0,9.354143466934854
66,"Bookkeeping, accounting, and auditing clerks",-5.804528,13.66309,1673.6,41230.0,40.909656561745905
67,Brickmasons and blockmasons,-3.1041505,-24.277462,81.9,53100.0,9.049861877399014
69,Broadcast announcers and radio disc jockeys,1.9944706,5.4431114,40.8,34630.0,6.387487769068525
71,Brokerage clerks,-7.990049,15.253502,48.6,52750.0,6.971370023173351
72,Budget analysts,-2.0353837,17.382397,55.4,76540.0,7.443117626371358
73,Bus and truck mechanics and diesel engine specialists,2.008044,-22.214893,281.3,48500.0,16.772000476985447
74,"Business teachers, postsecondary",15.652485,18.50109,105.1,87200.0,10.251829105091442
75,Butchers and meat cutters,-12.3946295,-2.2684457,137.5,32500.0,11.726039399558575
76,Cabinetmakers and bench carpenters,-17.686022,-22.64637,112.2,35790.0,10.59245014149229
79,"Captains, mates, and pilots of water vessels",-1.0480762,-21.374918,38.9,72340.0,6.23698645180507
80,Cardiovascular technologists and technicians,7.0827503,-3.2658703,57.4,57720.0,7.576278769950324
82,"Career/technical education teachers, postsecondary",15.631537,-8.171112,124.1,54620.0,11.140017953306897
83,"Career/technical education teachers, secondary school",20.847815,2.0002773,73.8,61710.0,8.590692637965812
84,Cargo and freight agents,-1.4241455,12.046242,97.2,43740.0,9.85900603509299
85,Carpenters,-10.804916,-18.715403,1024.1,48330.0,32.00156246185489
86,Carpet installers,-13.992179,-19.578255,36.5,40090.0,6.041522986797286
88,Cashiers,-17.330484,5.057008,3611.7,23655.0,60.097420909719574
89,Cement masons and concrete finishers,-3.7259016,-23.834036,200.4,44810.0,14.15627069534911
90,Chefs and head cooks,15.170919,6.4560075,148.7,51530.0,12.19426094521517
92,Chemical equipment operators and tenders,-1.7072883,-18.029127,88.5,49130.0,9.40744386111339
94,Chemical technicians,4.307309,-12.852608,68.1,49260.0,8.252272414311102
96,Chemists,5.1165833,-12.977901,86.7,77630.0,9.311283477587825
97,Chief executives,29.720667,23.209942,287.9,184460.0,16.967616214424464
98,"Child, family, and school social workers",12.884219,14.328143,342.5,47390.0,18.506755523321747
99,Childcare workers,-21.272806,7.0195074,1146.4,24230.0,33.85852920609518
100,Chiropractors,15.568966,-1.5504732,51.1,70340.0,7.148426400264607
102,Civil engineering technologists and technicians,-1.4878489,3.590635,70.9,53410.0,8.420213774008355
103,Civil engineers,30.389399,4.083625,329.2,87060.0,18.143869488066763
104,"Claims adjusters, examiners, and investigators",1.4780376,11.402175,332.9,66790.0,18.245547402037573
105,Cleaners of vehicles and equipment,-26.537636,1.6363947,408.4,25800.0,20.208908926510603
107,Clergy,7.5987086,14.066576,243.9,50400.0,15.617298101784444
108,"Clinical, counseling, and school psychologists",14.49394,15.180122,171.5,78200.0,13.095800853708795
109,Coaches and scouts,13.517704,7.8228726,292.0,34840.0,17.08800749063506
111,"Coin, vending, and amusement machine servicers and repairers",-21.982712,-6.8606367,37.0,35420.0,6.082762530298219
112,Commercial and industrial designers,-2.0775871,1.7077428,42.2,68890.0,6.496152707564686
114,Commercial pilots,0.5156532,-11.993521,41.6,86080.0,6.44980619863884
116,Community health workers,22.60874,5.5664673,64.9,40360.0,8.056053624449133
118,"Compensation, benefits, and job analysis specialists",-1.3934726,17.177336,94.4,64560.0,9.715966241192895
119,Compliance officers,7.0850167,7.8832307,337.6,69050.0,18.373894524569362
120,Computer and information systems managers,33.50225,4.951497,461.0,146360.0,21.470910553583888
121,Computer hardware engineers,35.610405,10.284346,71.1,117220.0,8.432081593533118
122,"Computer science teachers, postsecondary",24.778479,13.457088,38.5,85180.0,6.2048368229954285
123,"Computer, automated teller, and office machine repairers",-15.028594,-7.489271,112.3,39530.0,10.597169433391164
124,Concierges,14.675666,9.000483,42.6,31390.0,6.526867548832288
126,Construction and building inspectors,4.214421,4.345458,120.8,60710.0,10.99090533122727
127,Construction laborers,-12.576465,-20.48464,1398.0,36860.0,37.389838191679836
128,Construction managers,31.324915,3.5443776,476.7,95260.0,21.833460559425756
130,"Control and valve installers and repairers, except mechanical door",3.3708863,-19.646093,53.1,58100.0,7.286974680894672
132,"Cooks, fast food",-23.779053,1.9006287,534.0,23510.0,23.108440016582687
133,"Cooks, institution and cafeteria",-18.15522,2.0895765,420.2,27750.0,20.498780451529306
135,"Cooks, restaurant",-13.259631,-1.0534463,1417.3,27790.0,37.64704503676218
136,"Cooks, short order",-14.834391,0.43261155,154.7,25150.0,12.437845472588892
138,Correctional officers and jailers,6.4630303,4.128301,442.0,45180.0,21.02379604162864
140,Cost estimators,26.180904,18.1437,214.2,65250.0,14.635573101180562
142,Counter and rental clerks,-15.95193,0.31698602,420.4,28820.0,20.503658210182884
143,Couriers and messengers,-20.8032,-1.7498721,121.8,29690.0,11.036303729057115
144,"Court, municipal, and license clerks",-7.2795434,12.411034,163.7,39380.0,12.794530081249565
146,Crane and tower operators,-7.2903814,-21.637888,45.7,56690.0,6.760177512462229
147,Credit analysts,-3.2797053,14.877251,74.9,73650.0,8.654478609367523
151,Crossing guards and flaggers,-22.344065,4.791474,86.7,29760.0,9.311283477587825
154,Customer service representatives,5.2017884,11.745417,3018.8,34710.0,54.943607453460864
156,"Cutting and slicing machine setters, operators, and tenders",-19.768366,-15.960469,59.8,35600.0,7.733045971672482
157,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",-24.313452,-14.539971,195.7,35610.0,13.989281611290838
159,Data entry keyers,-1.8674883,11.4731865,172.4,33490.0,13.130118049735882
160,Demonstrators and product promoters,-17.674248,6.1816244,88.1,30930.0,9.386160024205852
161,Dental assistants,6.62195,-2.261384,354.6,40080.0,18.83082579177026
162,Dental laboratory technicians,-17.340714,-12.633537,36.2,41340.0,6.016643582596529
163,"Dentists, general",18.351557,-2.4119732,132.1,155600.0,11.493476410555685
166,Detectives and criminal investigators,7.2980804,7.4218974,113.5,83170.0,10.653637876331258
167,Diagnostic medical sonographers,7.462353,-2.27344,74.3,74320.0,8.61974477580398
169,Dietitians and nutritionists,19.447775,8.89989,74.2,61270.0,8.613942186943213
170,Dining room and cafeteria attendants and bartender helpers,-15.051705,1.3971981,488.0,23470.0,22.090722034374522
171,"Directors, religious activities and education",20.776115,7.311788,157.5,43860.0,12.549900398011133
172,Dishwashers,-14.963885,-2.1169753,522.3,23970.0,22.853883696212336
173,"Dispatchers, except police, fire, and ambulance",14.689551,5.0998845,204.6,40190.0,14.303845636750978
174,"Door-to-door sales workers, news and street vendors, and related workers",-17.136627,3.5183408,72.9,27420.0,8.538149682454625
177,Driver/sales workers,-17.129606,-0.10202738,487.4,25860.0,22.077137495608437
178,Drywall and ceiling tile installers,-25.86948,-3.1430824,125.1,45700.0,11.184811129384348
181,Editors,1.8253739,16.942902,118.7,61370.0,10.894952959971878
182,"Education administrators, all other",19.63445,7.3502784,52.1,85450.0,7.2180329730474355
183,"Education administrators, kindergarten through secondary",31.634705,21.992903,283.2,96400.0,16.828547174370104
184,"Education administrators, postsecondary",28.406427,21.678478,190.5,95410.0,13.80217374184226
185,"Education and childcare administrators, preschool and daycare",17.328266,7.4671874,69.2,48210.0,8.318653737234168
186,"Education teachers, postsecondary",17.856956,16.740744,77.3,65510.0,8.792041856133306
187,"Educational, guidance, and career counselors and advisors",16.311562,14.033544,333.5,57040.0,18.261982367749674
189,Electrical and electronic engineering technologists and technicians,5.185535,-17.6338,125.8,65260.0,11.216059914247962
192,"Electrical and electronics repairers, commercial and industrial equipment",4.9317846,-19.149263,61.2,59300.0,7.8230428862431785
194,Electrical engineers,34.25713,10.393349,193.1,98530.0,13.896042602122375
195,Electrical power-line installers and repairers,14.23127,-14.924843,115.0,72520.0,10.723805294763608
196,Electricians,-8.105043,-19.175957,739.2,56180.0,27.188232748746287
199,"Electronics engineers, except computer",34.75658,10.573209,134.9,105570.0,11.61464592658769
200,"Elementary school teachers, except special education",10.493973,11.975673,1452.1,59670.0,38.1064299036265
202,"Eligibility interviewers, government programs",-6.2650146,12.557906,147.5,46590.0,12.144957801491119
205,Engine and other machine assemblers,-25.404173,-14.405973,45.9,45660.0,6.774953874381729
206,"Engineering teachers, postsecondary",26.80181,11.709534,44.6,101010.0,6.6783231428256
207,"Engineers, all other",33.24807,9.231602,170.1,99040.0,13.042239071570494
208,"English language and literature teachers, postsecondary",18.895588,16.921083,81.3,68490.0,9.016651263079881
210,Environmental engineers,30.196875,4.640303,55.8,88860.0,7.469939758793239
212,"Environmental scientists and specialists, including health",26.695826,16.632738,90.9,71360.0,9.534149149242422
215,Executive secretaries and executive administrative assistants,5.109108,10.733943,593.4,60890.0,24.359802954868087
217,Exercise trainers and group fitness instructors,-14.104885,5.723049,373.7,40390.0,19.33132173442882
218,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",-20.829786,-14.207977,77.4,36320.0,8.79772697916911
220,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",-21.93028,-14.648823,72.4,35480.0,8.508818954473059
225,Farm equipment mechanics and service technicians,-7.8956304,-13.720758,40.8,42200.0,6.387487769068525
227,"Farmers, ranchers, and other agricultural managers",15.829239,-9.775533,952.3,71160.0,30.859358386071477
228,"Farmworkers and laborers, crop, nursery, and greenhouse",-26.706293,2.2531624,566.5,25440.0,23.80126047082381
229,"Farmworkers, farm, ranch, and aquacultural animals",-6.9240923,-16.199938,245.4,27830.0,15.665248162732693
232,File clerks,-8.720884,9.305795,106.7,32710.0,10.329569206893384
233,Film and video editors,-3.0469003,9.664983,38.3,63780.0,6.18869937870632
234,Financial examiners,25.954058,19.605085,66.9,81090.0,8.179242018671413
235,Financial managers,27.825304,20.836449,697.9,129890.0,26.417797031546744
238,Firefighters,14.539917,-12.481319,335.5,50850.0,18.3166590840142
239,First-line supervisors of construction trades and extraction workers,15.1592,-9.118631,685.0,66210.0,26.1725046566048
240,First-line supervisors of correctional officers,20.71755,-3.672324,48.7,63730.0,6.978538528947161
241,"First-line supervisors of farming, fishing, and forestry workers",-2.9953294,-23.057356,53.2,48280.0,7.293833011524188
242,First-line supervisors of firefighting and prevention workers,15.360114,-13.453002,71.5,77800.0,8.455767262643882
243,First-line supervisors of food preparation and serving workers,-11.638386,-1.1467046,1039.3,33400.0,32.23817612707022
244,First-line supervisors of housekeeping and janitorial workers,-10.8278475,-1.7169331,231.9,40780.0,15.228263197095066
245,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",14.915287,-6.3970866,170.7,49370.0,13.065221008463652
246,"First-line supervisors of mechanics, installers, and repairers",15.376079,-9.424686,499.1,67460.0,22.340546098965444
247,First-line supervisors of non-retail sales workers,29.326443,22.828825,409.8,74760.0,20.243517480912253
248,First-line supervisors of office and administrative support workers,16.43995,5.5259886,1552.4,56620.0,39.400507610943286
249,First-line supervisors of police and detectives,20.903698,-3.8220334,126.1,91090.0,11.229425630903835
250,First-line supervisors of production and operating workers,-1.6959897,-13.701818,648.9,61310.0,25.473515658424535
251,First-line supervisors of retail sales workers,14.689426,7.5314493,1476.4,40350.0,38.42395086401189
253,Flight attendants,-10.847554,4.1643972,121.9,56640.0,11.040833301884419
256,Floral designers,-17.789318,9.8646755,51.8,28040.0,7.197221686178632
258,Food batchmakers,-21.069216,-11.723374,162.5,30790.0,12.747548783981962
260,Food preparation workers,-12.702501,-1.4646939,886.7,24800.0,29.77750829065454
262,"Food servers, nonrestaurant",-23.910381,3.5633624,284.6,24430.0,16.870091878825082
263,Food service managers,-15.499263,2.1971567,352.6,55320.0,18.777646284878198
272,Fundraisers,30.353401,18.8034,100.6,57970.0,10.029955134495866
279,Gambling dealers,-24.652298,5.7542515,102.9,21260.0,10.143963722332607
284,General and operations managers,17.69188,4.8034163,2486.4,100780.0,49.86381453519175
289,Glaziers,-14.870312,-18.764225,52.8,44630.0,7.26636084983398
290,"Graders and sorters, agricultural products",-29.39686,-2.004636,38.3,25670.0,6.18869937870632
291,Graphic designers,3.0700967,18.016956,281.5,52110.0,16.777961735562517
293,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",-21.111263,-16.867884,77.1,36100.0,8.780660567406077
294,"Hairdressers, hairstylists, and cosmetologists",-8.376507,-2.4302418,656.1,26090.0,25.614449047363873
295,Hazardous materials removal workers,-3.238524,-16.132633,45.3,43900.0,6.730527468185536
297,Health education specialists,23.234274,6.7181864,62.2,55220.0,7.886697661252142
298,"Health specialties teachers, postsecondary",22.613615,10.478087,254.0,97320.0,15.937377450509228
299,Healthcare social workers,15.00505,13.5321665,185.0,56750.0,13.601470508735444
300,"Healthcare support workers, all other",7.947727,-1.1363144,96.9,38460.0,9.843779761859771
303,"Heating, air conditioning, and refrigeration mechanics and installers",5.800641,-21.630846,376.8,48730.0,19.411336893681487
304,Heavy and tractor-trailer truck drivers,-5.750327,-17.36935,2029.9,45260.0,45.05441154870409
307,Helpers--electricians,-10.243734,-20.567799,81.1,32830.0,9.00555384193554
309,"Helpers--installation, maintenance, and repair workers",-20.54019,-21.926615,101.1,30530.0,10.054849576199537
311,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",-11.638659,-23.017235,59.3,32100.0,7.700649323271382
312,Helpers--production workers,-24.16792,-12.302708,304.2,29100.0,17.44133022449836
314,Highway maintenance workers,12.415186,-11.184139,156.1,40730.0,12.493998559308384
318,Home appliance repairers,-7.902619,-11.637628,38.4,40260.0,6.196773353931867
319,"Hosts and hostesses, restaurant, lounge, and coffee shop",-21.250793,5.2429523,429.7,23090.0,20.72920644887305
320,"Hotel, motel, and resort desk clerks",-10.306284,7.5895104,276.5,24470.0,16.62828914831589
321,"Human resources assistants, except payroll and timekeeping",3.7154634,10.671179,123.9,41430.0,11.131037687475503
322,Human resources managers,30.190521,21.890732,165.2,116720.0,12.853015210447703
323,Human resources specialists,5.965746,12.939575,666.5,61920.0,25.816661286851172
325,Industrial engineering technologists and technicians,4.650966,-16.981432,68.5,56550.0,8.276472678623424
326,Industrial engineers,31.970222,9.127076,295.8,88020.0,17.198837169994952
327,Industrial machinery mechanics,-25.744415,-16.99972,399.4,53590.0,19.98499437077729
328,Industrial production managers,31.51789,6.1214604,190.1,105480.0,13.787675656179326
329,Industrial truck and tractor operators,-5.4847026,-18.341797,634.7,36200.0,25.193253065056922
331,"Inspectors, testers, sorters, samplers, and weighers",-21.452608,-10.277029,590.1,39140.0,24.291973983190417
332,"Installation, maintenance, and repair workers, all other",0.2152342,-19.469511,187.7,39830.0,13.700364958642524
333,Instructional coordinators,24.015821,18.016298,192.9,66290.0,13.888844444373333
